narrative,sentiment,confidence,key_phrases,category,urgent
I had a credit card account with my credit union ( XXXX County XXXX XXXX ) opened in XXXX which they transferred to another lender as of XX/XX/XXXX ( XXXX XXXX - XXXX ) .XXXX XXXX XXXX XXXX is misrepo,negative,0.81,"XXXX XXXX XXXX XXXX, FTC opinion letters, other supporting documentation, XXXX County XXXX, credit card account, original delinquency XXXX, credit union, XXXX bureaus, original creditor, date account, payment history, original date, several months, multiple responses, lender, XX/XX/XXXX, statute, limitations, state, copies, position, correspondence, entries, Transunion, request, error, matter",Billing,False
Someone has applied for credit many times through multiple creditors causing the amount of inquiries to decrease my credit score. The only credit I have applied for was a XXXX XXXX Credit card and a m,negative,0.78,"XXXX XXXX Credit card, multiple creditors, credit score, Someone, amount, inquiries, mortgage, home",Credit Reporting,False
I am a victim of identity theft and I received a fraud alert in regards to unauthorized and fraudulent inquiries listed on my Equifax credit report. The following inquiries are unauthorized and fraudu,negative,0.85,"XXXX XXXX XXXX Bank, Equifax credit report, credit inquiries, identity theft, fraud alert, fraudulent inquiries, following inquiries, victim, regards, unauthorized",Fraud,True
I have notified Equifax on numerous occasions that there is erroneous information being reported in the credit file that is maintained and distributed by Equifax under my Social Security number. The a,negative,0.95,"Equifax online dispute system, many certified letters, dishonest business practices, Social Security number, numerous occasions, erroneous information, credit file, original creditor, credit report, attached letter, account number, XXXX XXXX, question, reporting, mail, XX/XX/XXXX, avail, detriment, reputation",Credit Reporting,False
I have alot of items on my credit report that was not opened by me I believe I am a victim of Identity theft,negative,0.97,"credit report, Identity theft, alot, items, victim",Fraud,False
"There was a Federal Tax Lien that was removed in XX/XX/XXXX. XXXX made the correction, as well as XXXX. But Equifax never made the correction. In fact, they got the information from XXXX. I called the",negative,0.91,"The IRS Lien department phone number, XXXX Circuit Court Issue Date, Internal Revenue Service, Federal Tax Lien, Lien Date, Case Number, Federal Lien, XXXX Amount, XX/XX/XXXX, correction, Equifax, fact, information, liens",Other,False
"I am a financial coach. Yesterday ( XXXX/XXXX/2016 ) I met with a client who was turned down by his credit union for a credit card, based on the CU 's review of his Experian credit report. We went to ",negative,0.83,"alternative phone number, free credit report, credit card information, phone system problem, Experian credit report, identifying information, credit union, financial coach, experian.com, lengthy series, next step, identical experience, same demand, same absence, real person, actual person, same questions, XXXX, client, CU, review, denial, verification, point, way, mail, charge, story, representative, CFPB, chances, permission, context",Credit Reporting,False
"Reviewed my credit report and their is a fraudulent and unauthorized credit inquiry listed on my Equifax credit report. The following credit inquiry is unauthorized and fraudulent : XXXX XXXX XXXX, XX",negative,0.87,"XXXX XXXX XXXX XXXX, unauthorized credit inquiry, Equifax credit report, following credit inquiry, MN XXXX, following addresses, fraudulent",Fraud,True
"XXXX, XXXX, XXXX, XXXX, and Olde set-up XXXX as a means of delivering disputes from the credit reporting agencies to the data furnishers. XXXX does not work!!!! I have had XXXX for numerous years, and",mixed,0.72,"Federal Fair Credit Reporting Act, credit reporting agencies, negative credit blemish, Olde set-up, data furnishers, numerous years, clear violation, XXXX notification, means, disputes, instances",Credit Reporting,False
"I have unauthorized and fraudulent inquiries and addresses listed on my Equifax credit report that do not belong to me. The following inquiries are fraudulent and unauthorized : XXXX XXXX Bank, XXXX/X",negative,0.84,"XXXX XXXX XXXX XXXX, Equifax credit report, XXXX XXXX Bank, MN XXXX, fraudulent inquiries, following inquiries, following addresses, unauthorized",Fraud,True
equifax is reporting incorrect information. it is preventing me from obtaining a student loan for my child. XXXX and XXXX are reporting correctly and i have letters from the companies that everything ,mixed,0.75,"incorrect information, student loan, credit report, equifax, child, XXXX, letters, companies, everything, delinquencies, copy",Credit Reporting,False
"Transunion refused to block the fraudulent accounts that are on my credit report. 

Every account that was taken off of my credit report was reinserted back on to my credit file with Transunion. I wro",negative,0.95,"credit report, credit file, police report, fraudulent accounts, Transunion, copy",Fraud,False
The credit bureau failed to comply with blocking fraudulent items per my police report as I requested within 5 business days. I have been disputing these same items for over 2 years and they still wil,negative,0.99,"credit bureau, fraudulent items, police report, 5 business days, same items, credit report, 2 years",Fraud,False
"Transunion has many items that were reinserted back on my credit report due to fraud. 
The company refused to remove the items that were stolen under my social security number.",negative,0.88,"social security number, credit report, many items, Transunion, fraud, company",Fraud,True
"There are several items that are on my credit report due to fraud. 
My social security number was stolen from me to open accounts in my name.",negative,0.81,"social security number, several items, credit report, fraud, accounts, name",Fraud,True
"To whom it may concern, I was XXXX in 2010 from car accident, I was on XXXX until a few months ago. Now I 'm on XXXX. I 'm trying to find housing for the XXXX but I am having a problem with XXXX payin",mixed,0.71,"XXXX XXXX XXXX XXXX HI, car accident, one agency, credit reports, same report, housing, problem, bills, collections, agencyies, stuff, times, help, folks, Name, company",Credit Reporting,False
"My Name is XXXX XXXX XXXX XXXX XXXX XXXX Ma XXXX, this agencies have given out erroneous information.My creit rate for loand etc has risen due to their false data.. please investiage thes agencies und",mixed,0.6,"XXXX XXXX XXXX XXXX XXXX XXXX Ma XXXX, erroneous information, creit rate, false data, Name, agencies, loand",Other,False
Experian refuses to provide a live person to assist with purchase of credit report over the phone. I am visually impaired and their online webpage forces consumers into recurring billing platforms. I ,negative,0.91,"recurring billing platforms, unnecessary high interest, alleged scoring platforms, live person, credit report, online webpage, automated system, fraud alert, continued stress, duplicate inquiries, XXXX economy, American confidences, Experian, purchase, phone, consumers, account, agencies, companies, CFPB, problems",Fraud,False
"I have disputed the Identity theft accounts from XXXX XXXX XXXX ( XXXX ) on several occasions. I have submitted everything they have asked for and more, Police Report, FTC Report ( signed and notarize",negative,0.85,"Identity theft accounts, XXXX signature page, XXXX XXXX XXXX, several occasions, Police Report, FTC Report, responsible party, safe guards, fair evaluation, legal documents, negative information, account information, everything, stand, place, consumers, documentation, Equifax, services",Fraud,False
for three months TransUnion has not been able to give me credit score,negative,0.86,"three months, credit score, TransUnion",Credit Reporting,False
"After checking my credit report I fount a collection was made on my account for the amount of {$100.00} and was opened on XXXX XXXX, XXXX. After trying to contact the collector to dispute the charges ",mixed,0.71,"credit report, MGM XXXX, XXXX XXXX, Professional Account, collection, amount, collector, charges, number, company, WI, response, debt, rights, FDCPA",Credit Reporting,False
"I have been having problem with XXXX since XX/XX/XXXX for repoerting wrong information. 
we have no Valid contract Since XXXX changed terms of my contract monthly paymentwithout my knowledge. wrongful",negative,0.98,"last payment date, contract monthly paymentwithout, past XXXX years, wrong information, Valid contract, First Delinquencywas, monthlypayment history, credit file, problem, XX/XX/XXXX, terms, knowledge, car, proof, equifax, document, correction, law, account, cotract",Billing,False
"They removed XXXX XXXX AFTER MY DISPUTE INVESTIGATION. OF ALL XXXX ACCOUNTS THAT DO N'T BELONG TO ME. I AM ASKING THAT THEY REMOVE THE OTHER XXXX ACCOUNTS LISTED AS XXXX FROM MY CREDIT FILE. 
ALSO ACC",negative,0.71,"OTHER XXXX ACCOUNTS, MY DISPUTE INVESTIGATION, XXXX CREDIT BUREAU, ACCOUNT XXXX XXXX, CREDIT FILE, INV ESTIGATION, certified letter, STATEMENT, proof, concern, evidence, REMOVALS, EXPERIAN",Credit Reporting,False
"Date : XX/XX/XXXX To Whom It May Concern : XXXX XXXX Equifax XXXX, GA XXXX Please take notice on this date, the nature of this letter is to request the removal of the fraud alert on my personal credit",negative,0.83,"XXXX SOC SEC # XXXX DOB XX, XXXX XXXX Equifax XXXX, personal credit reports, correct identification information, current mailing address, GA XXXX, FL XXXX, fraud alert, Date, XX/XXXX, notice, nature, letter, removal, records, 2 ) proofs",Fraud,False
"XXXX *********** DOB XX/XX/XXXX XXXX, FL XXXX This serves to notify you on the inaccurate information on my credit report as per your file. I have sent this letter via registered mail for purposes of ",negative,0.96,"XXXX XXXX A XXXX ACC, XXXX XXXX ACC, social security card, good credit standing, MEDICAL ACC, XX/XXXX XXXX, FL XXXX, credit card, credit report, DOB XX, inaccurate information, registered mail, formal escalation, appropriate courts, car loan, closer look, police report, fraudulent account, erroneous information, health insurance, Florida id, file, letter, purposes, law, need, application, mortgage, employment, mine, copy, charge, oversight, part, something, stress, quality, life",Fraud,True
"On XXXX XXXX, 2016 i have disputed several fraudulent accounts and Public Records that was listed on my Equifax Credit Report however after Equifax received my supporting documentation i.e. Police Rep",negative,0.8,"XXXX XXXX Special Civil Part, XXXX Bankruptcy XXXX, Identity theft Affidavit, XXXX Bankruptcy Court, several fraudulent accounts, Equifax Credit Report, XXXX Mortgage, Public Records, supporting documentation, Police Report, Creditor Equifax, letter, Companies, listing",Fraud,True
As this is the only soapbox I can use to complain about the credit monitoring services I wish to complain over and over again until this system is fixed or got rid of. I came to this country as an XXX,negative,0.84,"tattle-tale credit reporting system, credit monitoring services, perfect credit score, IRS tax lien, XXXX plus loan, good credit, specific reason, collection account, Great Recession, middle-age males, eleven years, 30 years, soapbox, country, taxes, debts, school, denial, job, bells, whistles, chocolate, education, litigation, stage, life, person, population, women, immigrants, ethnicity",Credit Reporting,False
I filed a dispute with XXXX weeks ago against Midwest recovery never had a pay day loan and I believe someone stole my identity. I 'm in the middle of a getting approved for a house and than this happ,mixed,0.53,"pay day loan, Midwest recovery, credit score, XXXX points, dispute, someone, identity, middle, house",Credit Reporting,False
"XXXX listed an account in my credit report that was more than seven years old and paid off. The listing was incorrect, so I called XXXX and was told that XXXX had no information on the account. I sent",negative,0.95,"Equifax XXXX letters, credit report, credit bureaus, bogus fashion, meaningless "" investigation, account, listing, information, problem, reporting, month, action, law, 30 days, result",Credit Reporting,False
"I did not possess any working credit cards after bankruptcy XXXX. a XXXX credit card showing balance of {$1700.00} in 1991 appeared on XXXX, transunion credit report. I contacted collection agency adv",negative,0.9,"working credit cards, transunion credit report, XXXX credit card, collection agency, Negative info, bankruptcy XXXX, XXXX XXXX, balance, charges, account, copy, today",Credit Reporting,False
"THIS ACCOUNT HAS BEEN REPORTING ON MY CREDIT REPORT FOR 7 YEARS AND I AM TRYING TO GET A HOUSE FOR MY FAMILY, THIS IS PREVENTING ME FROM IT, AND I WOULD LIKE BASED ON THE LAWS THAT PROTECT ME TO HAVE ",negative,0.73,"CREDIT REPORT, MY FAMILY, MY REPORT, ACCOUNT, 7 YEARS, HOUSE, LAWS",Credit Reporting,False
I have contacted Equifax on several occasions asking for them to validate that XXXX debts are LEGALLY entered on my credit report. I have personally contacted these XXXX companies and asked them to pr,negative,0.78,"Fair Debt Collection Practices Act, Fair Credit Reporting Act, 15 U.S. Code, AUD control number, XXXX XXXX XXXX, credit reports, credit bureaus, credit profiles, several occasions, multiple occasions, third party, state court, several things, inaccurate information, XXXX debts, fourth company, XXXX companies, Equifax, contract, money, section, order, agreement, entries, proof, method, monies, item, XX/XX/XXXX, entry, deletion, days, issue, mediation, CFPB, suit, remuneration, Violations, FCRA, defamation, character, opportunities",Credit Reporting,False
CREDCO FAILED TO FURNISH MY XXXX CREDIT REORT SINCE XX/XX/2012.,negative,0.96,"MY XXXX CREDIT REORT SINCE, CREDCO, FURNISH",Other,False
my identity was stolen and used and as a result some accounts were opened. I filed police reports with the XXXX police dept in XXXX report number XXXX and report number XXXX in XXXX. I mailed by last ,negative,0.91,"current phone number, XXXX police dept, police reports, report number, last notification, student loans, fraud alert, fraudulent accounts, XXXX report, identity, result, transunion, proof, inquiries",Fraud,True
I first disputed these inaccuracies which came from identity theft since 2014. Ive been going back and forth with experian for years about these same accounts. I sent my police report from the XXXX Po,negative,0.98,"credit reporting agencies, personal credit report, XXXX Police Dept., police report, identity theft, same accounts, same complaint, inaccuracies, experian, years, complaints, laws, victim",Fraud,False
"Since   XXXX   no lender has been able to access my credit an error is returned ""  XXXX  '' through my own research I found this is an error code triggered due to a mis-match between my SSN #, name an",mixed,0.51,"last 8 months, many calls, closing date, error code, suitable home, XXXX  person, lender, credit, research, mis-match, name, address, Equifax, issue, ineptness, mortgage, contract, file, TIME, ESSENCE",Other,False
"I have disputed the validity of a debt in writing over four times requesting proof of the alleged debt, and to date the credit bureaus as well as XXXX XXXX has failed to provide me with a copy of the ",negative,0.92,"credit bureaus response, four times, XXXX XXXX, validity, debt, proof, copy, bill, charges, result",Credit Reporting,False
"On XXXX XXXX, 2015, I filed a dispute with Experian credit reporting agency by U.S mail. It 's been sixteen days and I have not gotten any notice from them that they have open an investigation on the ",mixed,0.74,"Experian credit reporting agency, U.S mail, XXXX XXXX, sixteen days, web site, continue problem, dispute items, notice, investigation, message, copy, year, someone, conduct, company",Credit Reporting,False
I have written several letters to date regarding information that is being reporting to my report from a relative with a similar name. Its has been more that 60 days,neutral,0.99,"several letters, similar name, date, information, report, relative, 60 days",Other,False
I have spoken with over XXXX representatives over the phone and I have not been able to get the proper information on resolving this issue. This agency pulled up XXXX addresses under my name and ssn t,mixed,0.71,"XXXX XXXX XXXX XXXX NJ XXXX, XXXX representatives, XXXX minutes, XXXX hour, XXXX addresses, proper information, evictions records, police report, hold time, phone, issue, agency, name, ssn, victim, theft, none, 13 years, letter, deletion, copy, incident, supervisor, response, cases, apartment, days",Customer Service,False
I would like to dispute the account that  Consumer Portfolio Services  #  XXXX  has reported on my credit file. I sent a certified letter to the company by mail to the address provided online from the,mixed,0.64,"The Fair Credit Reporting Act, Consumer Portfolio Services  #  XXXX, 15 U.S.C., credit file, credit bureaus, credit profile, attached documents, certified letter, account, company, mail, address, copy, request, violation, attempt, advance",Credit Reporting,False
Equifax has a incorrect information related bankruptcy Chapter XXXX related XXXX XX/XX/XXXX The correct information should reflected Bankruptcy Chapter XXXX -Discharge-XXXX XX/XX/XXXX I asked many tim,negative,1.0,"bankruptcy Chapter XXXX, incorrect information, Equifax, Discharge, correction, success",Billing,False
There is an unauthorized and fraudulent account from XXXX XXXX for {$270.00} listed on my Equifax credit report. This account do not belong to me. I have never had an account with XXXX XXXX. The accou,negative,0.78,"Equifax credit report, XXXX XXXX, identity theft, fraudulent account, unauthorized, result",Fraud,True
"On XX/XX/XXXX, I filed a dispute with Equifax for erroneous information being furnished on my credit file by Equifax. I disputed the following erroneous items.. XXXX , XXXX XXXX , XXXX XXXX, and XXXX ",negative,0.93,"Customer Service Supervisor name XXXX, Customer Service Rep, XXXX County Courts, CEO XXXX office, XXXX XXXX XXXX, The Office, Consumer Affairs, hard evidence, FACTA ACT, ss card, willful non-compliance, board member, separate suit, credit file, Credit Bureau, sufficient verification, proper verification, erroneous information, negative information, erroneous items, erroneos items, credit information, XX/XX/XXXX, dispute, Equifax, place, status, decision, method, call, something, shelter, food, job, creditor, driver, license, signature, Failure, lawsuit, section, FCRA, complaint, intent",Credit Reporting,False
"Dear Consumer Relations : The reason for me filing this complaint is due to Equifax failing to update my credit report after sending them a copy of my social security card, Louisiana indentification c",negative,0.95,"Dear Consumer Relations, social security card, Louisiana indentification card, XXXX credit report, inatial complaint, reason, Equifax, copy, dispute, information, 15 days, confirmation, investigation, agency, issues",Credit Reporting,False
I am filing this complaint because TransUnion has ignored my request to provide me with the documents that their company has on file to verify the accounts I disputed. Being that they are past the 30 ,mixed,0.61,"30 day mark, complaint, TransUnion, request, documents, company, file, accounts, Section 611, FCRA, information, manner",Other,False
I had paid off an apartment collection from 3 years ago and sent equifax a notice to update the balance. They claim that they verified the balance however my letter show 's the account was to be updat,negative,0.91,"apartment collection, equifax, notice, balance, letter, account, liars",Other,False
Within the last month Equifax is allowing inaccurate and reinserted information to appear on my credit report. Not sure what is going on but they are damaging my chances to purchase a home. See Attach,negative,0.98,"XXXX duplicate listings, last month, reinserted information, credit report, Attached reports, recent report, public record, XXXX report, Equifax, inaccurate, chances, home",Credit Reporting,False
Unauthorized inquiry and/or unknown company,negative,0.56,"Unauthorized inquiry, unknown company",Fraud,False
"Company name is Condor Capital who was put out of business due to "" Illegal Practices Against Customers '' under section 1042 Federal Dodd-Frank Wall Street Reform and Consumer Protection Act against ",negative,0.91,"Federal Dodd-Frank Wall Street Reform, subprime lender XXXX owner, Consumer Protection Act, Condor Capital Securitization, Illegal Practices, drivers license, social security, original signatures, driver license, error dumb, Company name, same company, debt validation, business, Customers, section, letter, copy, bureaus, piece, information, complaint, BBB, finding, favor, FTC, file, behalf, part, proof",Other,False
The company refuse to block the FCRA 605B Due to fraud. The company violated my consumer rights by not blocking and removing the fraudulent items that are on my credit report due to fraud. I filed a p,negative,0.94,"social security number, FCRA 605B, consumer rights, credit report, police report, fraudulent items, company, name, accounts",Fraud,True
I have disputed this bankruptcy with Transunion and also asked for method of verification. They have not given me this information they stated that they verified the information with a third party ven,negative,0.82,"third party vendor, inaccurate account, credit bureaus, contact information, bankruptcy courts, Transunion, method, verification, clerk, originator, validation, signature, paperwork, name, person",Credit Reporting,False
"I put in a dispute, on XXXX/XXXX/2015 it was updated and no changes were made, I called the CRA ( Equifax ) and was told, that the government agency ( Social Security ) vouched that the debt was corre",negative,0.99,"Administrative Law Judge, new account number, previous debt account, Social Security Administration, account numbers, government agency, postal service, credit report, federal representative, XXXX XXXX, dependent debt, second request, The CRA, dispute, changes, Equifax, notice, proof, payments, department, subcontractor, address, XXXX/XXXX, item, amount, time, case, balance, PDF, judgement, information, year",Credit Reporting,False
"I am filing another complaint on the following unauthorized and fraudulent accounts that 's listed on my Equifax credit report : XXXX XXXX XXXX, XXXX XXXX XXXX, MN Child Support Enforcement and XXXX X",negative,0.97,"MN Child Support Enforcement, XXXX XXXX XXXX XXXX, Equifax credit report, following credit inquiries, following unauthorized, fraudulent accounts, identity theft, complaint, victim",Fraud,True
"I paid the full balance of XXXX fraudulent credit card accounts that do not belong to me, so I can have the credit card accounts deleted from my Equifax credit report. I paid {$2800.00} to XXXX XXXX X",negative,0.8,"XXXX fraudulent credit card accounts, Equifax credit report, XXXX XXXX XXXX, attached bank statement, full balance, proof, payment",Fraud,False
"Equifax investigation of my dispute of the following accounts : XXXX XXXX Bank, XXXX XXXX XXXX, XXXX Bank and MN XXXX, took longer than 30 days to investigate.",negative,0.96,"XXXX XXXX XXXX, XXXX XXXX Bank, MN XXXX, Equifax investigation, following accounts, dispute, 30 days",Other,False
I have sent numerous supporting documentation to Equifax in regards to fraudulent and unauthorized accounts on my credit report that do not belong to me. Equifax continue to disregard and refuse to lo,negative,0.95,"MN Child Support Enforcement, numerous supporting documentation, XXXX XXXX XXXX, unauthorized accounts, credit report, following accounts, same response, fraudulent accounts, Equifax, regards, proof, item",Fraud,True
I tried to log into Equifax to view my credit report. I attempted to dispute items. I received an email from Equifax saying they had resolved the disputes. I tried to login to my equifax account. I co,negative,0.82,"social security number, credit card number, credit report, phone call, unknown person, unknown reason, United States, interest rate, personal information, equifax account, manager XXXX, items, email, disputes, password, woman, days, theft, file, companies, mortgages, loans, rental, knowledge, consent, somone",Credit Reporting,False
"To whom this may concern, In follow up to my disputes concerning false information on my credit report, I have obtained my FTC Identity Theft report number which is : XXXX. The website is broken at th",negative,0.85,"FTC Identity Theft report number, credit report, Chex Systems, full PDF, false information, disputes, XXXX, website, moment, fraud",Fraud,True
"Hello, I have been working hard to correct some inaccuracies on my credit report, and after contacting the credit bureaus in the past and recently in the last few months Experian continues to ignore m",mixed,0.73,"right thing, one person, credit report, credit bureaus, entire balance, inaccuracies, past, last, months, Experian, response, 30 days, creditor, system, XXXX, taxes, money, premiums, explanation, kids, home, rates, treatment, dues, items, letters, accounts, obligation, score",Credit Reporting,False
"Hello, I have been working hard to correct some inaccuracies on my credit report, and after contacting the credit bureaus in the past and recently in the last few months Equifax continues to ignore me",mixed,0.71,"right thing, one person, credit report, credit bureaus, entire balance, Equifax XXXX, inaccuracies, past, last, months, response, 30 days, creditor, system, taxes, money, premiums, explanation, kids, home, rates, treatment, dues, items, letters, accounts, obligation, score",Credit Reporting,False
I applied for a job and was offered a position. Subsequent to that a credit report was requested. There were XXXX items that were reported incorrectly. As a result of the incorrect items an adverse ac,negative,0.86,"low cost alternatives, ridiculous interest rate, long slow climb, Human Resources manager, higher interest rates, XXXX other people, two months service, credit report, adverse action, six months, last months, three months, foreclosure judgement, several months, crazy reporting, Debtors prison, prime focus, XXXX Oregon, previous debt, incorrect items, job offer, past 5 years, background check, XXXX XXXX, XXXX items, The IRS, 18 months, 20 years, position, result, bill, account, XX/XX/XXXXand, success, availability, streaming, Villages, sublet, first, notice, advance, lawyer, country, house, loss, lien, lot, effort, car, work, scope, abilities, grounds, tool, bullies, case, Mine, story, fan, 4.",Credit Reporting,False
I 've initiated several disputes with Transunion over the last year for erroneous accounts that are not mine. I '' ve followed every step they 've outlined and that your site has told me to do. Still ,mixed,0.68,"Consumer financial protection bureau, unknown medical collections, credit bureau, several disputes, last year, several occasions, credit reports, First credit, fraud department, erroneous accounts, vacuum cleaner, Transunion, step, site, issues, money, creditors, family, documents, accounts/collections, XXXX, info, system, debt, clue, place, resolution, children, work, husband",Fraud,False
I 've initiated several disputes with Experian over the last year for erroneous accounts that are not mine. I '' ve followed every step they 've outlined and that your site has told me to do. Still ha,mixed,0.7,"Consumer financial protection bureau, unknown medical collections, credit bureau, several disputes, last year, several occasions, credit reports, First credit, fraud department, erroneous accounts, vacuum cleaner, Experian, step, site, issues, money, creditors, family, documents, accounts/collections, XXXX, info, system, debt, loan, clue, place, resolution, children, work, husband",Fraud,False
I 've initiated several disputes with Experian over the last year for erroneous accounts that are not mine. I '' ve followed every step they 've outlined and that your site has told me to do. Still ha,mixed,0.67,"Consumer financial protection bureau, unknown medical collections, credit bureau, several disputes, last year, several occasions, credit reports, erroneous accounts, vacuum cleaner, XXXX XXXX, Experian, step, site, issues, money, creditors, family, documents, accounts/collections, info, system, debt, place, resolution, children, work",Credit Reporting,False
"EQUIFAX employees/resolution supervisor "" XXXX '' Id # XXXX informed me along with other reps. that EQUIFAX will not and does not comply to federal rules/regulations and laws pertaining to the Fair Cr",mixed,0.78,"Fair Credit Report Act, certified consumer contract, correct reporting information, FCRA SECTION 609 law, credit bureau, resolution supervisor, other reps, federal rules/regulations, full letter, collection agency, written request, law complies, physical documentation, incorrect information, accurate information, physical verification, electronic interchange, debt amount, EQUIFAX employees, Equifax refusal, EQUIFAX request, case information, EQUIFAX system, FCRA 609, XXXX, Id, laws, proof, creditors, original, account, addition, file, glitch, data, reports, issue, right, documents, lase, response, time, order",Credit Reporting,False
"ON OR AROUND XXXX XXXX, 2016 CONSUMER ( MYSELF ) FAXED TO CREDIT REPORTING AGENCY "" EQUIFAX '' A IDENTITY THEFT FRAUD AFFIDAVIT PACKET CONTAINING A XXXX POLICE REPORT AND SEVERAL DISPUTES ALLEGING FRA",negative,0.96,"IDENTITY THEFT FRAUD AFFIDAVIT PACKET, DATE NEGATIVE ITEMS REFLECT, AROUND XXXX XXXX, CREDIT REPORTING AGENCY, XXXX POLICE REPORT, ALLEGING FRAUDULENT ACCOUNTS, SEVERAL DISPUTES, FEDERAL LAW, 5 BUSINESS DAY, VIA FAX, SUCH ACTIONS., CONSUMER, MYSELF, FAXED, EQUIFAX, HIS, CONSENT, INFORMATION, REPORTS",Fraud,True
"I have asked Experian to delete wrong personal information from my report, and they have fail to do what I have requested to do.",negative,1.0,"wrong personal information, Experian, report",Other,False
"My complaint, ( TransUnion ) What they say & what they do. 
Unfair credit scoring. No reason on reduce scoring point. 
Report wrong information to companies. Report of public record to XXXX, when I ha",negative,0.82,"Unfair credit scoring, scoring point, wrong information, All References, Personal information, LONG HISTORY, public record, collection record, XXXX Record, complaint, TransUnion, reason, companies, Report, file, interest, creditor, MATTER",Other,False
The courts are reporting a Bankruptcy with my name. The US Bankruptcy Court told me that they do not report or verify that information to the Credit Bureaus. That information was pulled by a Third Par,negative,0.83,"The US Bankruptcy Court, Credit Bureaus, Third Party, Trans Union, blatant Lie, courts, name, information, report",Credit Reporting,False
I did not receive any notice that I owed this bill.,negative,0.99,"notice, bill",Other,False
"I have been disputed this account too many time, and nothing happened every time I call the credit bureau they say there is nothing they can do it about it, XXXX XXXX XXXX # XXXX account have been dis",negative,1.0,"chapter XXXX XXXX XXXX XXXX NA # XXXX, XXXX XXXX XXXX # XXXX account, chapter XXXX XXXX # XXXX account, credit bureau",Credit Reporting,False
"I am submitting this complaint about experian credit reporting agency. My XXXX/XXXX account was recently changed and put in the "" potentially negative '' part of my credit report. I again called last ",negative,0.92,"experian credit reporting agency, credit score, XXXX/XXXX shops, late payment, good standing, experian 2 copies, incorrect things, stamps copies, wrong information, XXXX/XXXX account, complaint, part, past, letter, accounts, reason, file, answer, time, phone, response, money, square",Credit Reporting,False
